,index,area,major_axis_length,minor_axis_length,centroid-0,centroid-1,orientation,label,speed (nm/s),r^2,skele r^2,MT len (um),motor conc,MT dilute,ATP,ADP,P,time (seconds)
0,0,16,21.21423112952325,2.3756888649751056,119.375,118.4375,1.01401426299057,5,11.059327731092454,0.8255007958759351,0.6057780899638239,3.8716041576260314,0.25,600.0,1410.0,0.0,0.0,170.0
2,2,16,20.20528100340925,1.2233640395521246,190.875,120.5,1.1487448543589505,9,40.164904862579306,0.9707108999876883,0.9646820999343829,3.2882830519040005,0.25,600.0,1410.0,0.0,0.0,170.0
7,7,28,32.38305884062118,1.274054320105884,319.5,91.5,-0.06678067076609995,26,33.20890756302522,0.9320643193540582,0.7959429425469903,3.7731453780571513,0.25,600.0,1410.0,0.0,0.0,170.0
10,10,34,39.72355508537503,1.3223138582535374,331.5,78.44117647058823,0.15581860523011384,30,36.62749999999994,0.9468422291742243,0.8612321088666308,4.336836136211963,0.25,600.0,1410.0,0.0,0.0,170.0
12,12,31,36.146534412807554,1.515908012686907,324.258064516129,266.0,1.4275732212220518,33,30.421848739495797,0.9744199661268161,0.8185862520822276,5.310560772474861,0.25,600.0,1410.0,0.0,0.0,170.0
14,14,28,34.455104968907975,1.786807308313599,355.5,105.17857142857143,-0.35514138478323626,36,50.248235294117634,0.9714515134195112,0.914484653610275,3.0886929168467323,0.25,600.0,1410.0,0.0,0.0,170.0
15,15,49,40.3808681732896,13.037710831680062,379.8775510204082,69.24489795918367,-0.38486267211861075,39,12.037242026266416,0.866384134985493,0.8036477366255146,4.751439172790427,0.25,600.0,1410.0,0.0,0.0,170.0
16,16,30,36.7632930267166,1.8373462894418695,379.3666666666667,38.5,-1.2273442674031203,41,47.8670588235294,0.9904338297818628,0.9245806657151889,3.2617413532383894,0.25,600.0,1410.0,0.0,0.0,170.0
17,17,18,23.994539769619852,1.4623968182431994,392.72222222222223,340.5,1.0438393001085462,46,24.95596638655462,0.9522730553137126,0.6605408649935753,1.8649160376413811,0.25,600.0,1410.0,0.0,0.0,170.0
21,21,41,48.95691601247949,1.2881765939782404,450.0,132.0,0.25872426443794466,52,28.987731092436984,0.921492025935947,0.7103075185974148,5.3224967444129145,0.25,600.0,1410.0,0.0,0.0,170.0
24,24,41,49.29714315431745,1.3097830625858455,463.0,176.17073170731706,-0.2836519837099693,57,84.43237181750528,0.9328192144389971,0.6067527760618223,4.870812411284136,0.25,600.0,1410.0,0.0,0.0,170.0
25,25,25,33.19315069059495,1.6895997252177646,470.0,305.0,0.5183845343319435,62,63.61366644490612,0.9322047854040196,0.19595978379546686,2.624812268916046,0.25,600.0,1410.0,0.0,0.0,170.0
27,27,23,27.03753609400593,1.4380717238395357,475.0869565217391,262.0,1.3770297200367667,68,21.34941176470589,0.9112447612209067,0.91284847074179,3.7474474279516206,0.25,600.0,1410.0,0.0,0.0,170.0
29,29,14,22.176832238314343,0.8715161760347689,496.5,95.5,0.8133410643452487,73,14.086050420168059,0.8203898322852414,0.6127951795586348,2.7980690050494124,0.25,600.0,1410.0,0.0,0.0,170.0
30,30,23,30.52311002080914,2.465539513445939,500.0,143.0,1.0518699063504326,74,45.8801680672269,0.986366941819386,0.9773152449884907,2.4765403682356415,0.25,600.0,1410.0,0.0,0.0,170.0
