,index,area,major_axis_length,minor_axis_length,centroid-0,centroid-1,orientation,label,speed (nm/s),r^2,skele r^2,MT len (um),motor conc,MT dilute,ATP,ADP,P,time (seconds)
0,0,44,68.72744702135054,2.89927482700368,37.04545454545455,440.72727272727275,-0.8023999136494032,3,37.51081447963801,0.9910594999889548,0.9357204579513382,7.5914825349880415,0.0625,400.0,470.0,0.0,0.0,780.0
1,1,34,40.862672398087234,2.492854353085984,66.5,200.1764705882353,-0.2830509719490591,5,56.86723981900448,0.9462727395205279,0.7948393702171244,3.309891034068125,0.0625,400.0,470.0,0.0,0.0,780.0
2,2,21,21.585160394080816,2.6809376578958006,69.23809523809524,142.57142857142858,1.4854394714335166,8,32.989215686274484,0.9222269617995774,0.8669624112681409,2.6176470908867993,0.0625,400.0,470.0,0.0,0.0,780.0
4,4,36,54.73799318205032,2.2330853774648887,89.77777777777777,370.3888888888889,0.7530096330984637,10,28.987285067873312,0.978443479856749,0.857496887655779,6.513889089226224,0.0625,400.0,470.0,0.0,0.0,780.0
6,6,46,55.22352121127949,3.7728186550539995,90.41304347826087,337.4782608695652,1.282756957115335,12,54.390316742081446,0.8665466500192425,0.9578029126230592,5.850647501475441,0.0625,400.0,470.0,0.0,0.0,780.0
7,7,46,64.94207668275641,1.3503564419811007,110.5,291.9782608695652,0.6135301416245003,13,37.175701357466025,0.9622208912241644,0.9228188256490188,7.972400990167073,0.0625,400.0,470.0,0.0,0.0,780.0
9,9,39,58.981886707108046,2.687472893880412,131.10256410256412,263.8205128205128,0.7274909762392034,16,46.66814479638008,0.9689166094579026,0.9532081091118922,6.3609853840889645,0.0625,400.0,470.0,0.0,0.0,780.0
15,16,33,41.102233747706244,1.3368922383986332,247.57575757575756,461.0,1.185201628309056,31,26.896470588235328,0.9431533222447724,0.8422860413815758,5.07131788128445,0.0625,400.0,470.0,0.0,0.0,780.0
19,20,46,52.146746199697326,4.982999331170597,306.3695652173913,384.17391304347825,0.37233697799929066,38,86.6273755656109,0.8142478347572685,0.8132084734260379,5.035351938507396,0.0625,400.0,470.0,0.0,0.0,780.0
20,21,18,21.254010700274524,1.1201265435671457,320.22222222222223,219.5,-1.352823808696565,43,10.446787330316747,0.9649003706880845,0.4333703472608619,3.0636311306123374,0.0625,400.0,470.0,0.0,0.0,780.0
21,22,30,39.27220408760879,1.6561627305589406,341.53333333333336,488.5,1.0787317142727553,45,30.101900452488625,0.9633811394051166,0.8661068039100739,4.716953689323108,0.0625,400.0,470.0,0.0,0.0,780.0
22,23,44,55.79081642557682,1.6301931911019252,351.0,279.5,-1.1441311929558973,46,25.832850678732992,0.831210082680961,0.9441558148003554,7.352714352671796,0.0625,400.0,470.0,0.0,0.0,780.0
23,24,15,21.955462907938475,1.0423710409574662,352.0,457.93333333333334,0.66552660896222,48,14.9635294117647,0.9122798368111619,0.9128359170600666,3.2536045126538666,0.0625,400.0,470.0,0.0,0.0,780.0
25,26,19,21.941435344260334,1.5153899575337357,376.0,161.3684210526316,0.054593106684001136,52,40.86923076923087,0.8245160323082409,0.8279773156899811,2.9976005041278078,0.0625,400.0,470.0,0.0,0.0,780.0
26,27,31,40.01175054473543,1.3001582511441794,395.35483870967744,456.0,-1.1062971214042896,53,51.97167420814476,0.9915416806401661,0.936925826323238,3.8146217523967256,0.0625,400.0,470.0,0.0,0.0,780.0
28,29,21,27.061304396603276,1.4201655234575177,421.9047619047619,180.0,1.1078541741838142,58,24.798371040723964,0.9112455197751268,0.839676149407988,3.424250252386589,0.0625,400.0,470.0,0.0,0.0,780.0
29,30,39,45.020386656938875,2.1267586032502375,432.7435897435897,55.0,1.5616668931182836,59,64.74239819004525,0.9478471950691796,0.9473105057606866,5.616117646511505,0.0625,400.0,470.0,0.0,0.0,780.0
30,31,36,46.06087902072145,1.3789839295540858,461.5,94.55555555555556,0.44631583123760094,60,51.19945701357464,0.981079233490193,0.9223564270552209,4.817271987739028,0.0625,400.0,470.0,0.0,0.0,780.0
31,32,27,33.291003360209125,3.7229003348085783,458.037037037037,369.44444444444446,1.0830704303247505,61,45.619095022624414,0.9563128328369458,0.7078555963637103,2.8900407795814687,0.0625,400.0,470.0,0.0,0.0,780.0
33,34,19,28.092496523962083,2.062057774281467,484.7368421052632,47.8421052631579,0.8406768899649073,63,33.066923076923096,0.9008561945728228,0.8815943367189902,3.603214403970495,0.0625,400.0,470.0,0.0,0.0,780.0
