,index,area,major_axis_length,minor_axis_length,centroid-0,centroid-1,orientation,label,speed (nm/s),r^2,skele r^2,MT len (um)
0,0,15,20.007273878496587,1.0965059435139501,31.0,381.8,0.528941363497282,3,87.62115384615383,0.9908666608398157,0.9872616239920124,2.0729004187568525
1,1,15,22.105699837006817,0.9310873240710018,42.93333333333333,40.0,0.8968198447286173,4,86.8844827586207,0.9851600287554518,0.9802852855699113,2.829687751774386
2,2,15,22.4086043523053,1.3747750861138863,48.93333333333333,426.4,0.7711812906322986,6,55.28409090909091,0.9673743595052016,0.9583766909469306,2.8701869478398963
3,3,53,61.23036962110712,2.324258553008884,97.0,321.9811320754717,0.03712731840522501,11,128.76134453781503,0.9706727654419637,0.9760761656915024,3.195787283842212
8,8,20,29.607280789687117,2.0901971774510333,135.7,402.5,-0.8911113856322413,19,87.10686274509804,0.9674347971210973,0.9503235327153996,1.7197084621349705
10,10,51,61.458817015326154,2.9400470125720117,156.0,323.6666666666667,-0.2911459491457934,21,71.43224417426543,0.9593770798620357,0.8960764698306677,5.746129770214508
11,11,9,14.14573076994111,0.7678925764927399,150.88888888888889,71.0,0.8171016393808643,22,45.630427350427325,0.9307244474645721,0.9170138866176961,2.2871631496077227
12,12,30,43.69759559073858,1.1056047261502289,165.73333333333332,439.1,0.8547702816625334,24,74.26100840336133,0.9872052247754521,0.9626987870869057,3.14114877249409
13,13,12,16.140656335405133,1.3043907714210674,164.16666666666666,84.5,0.7682227914984359,25,64.54953560371521,0.9911527633535355,0.9413708771234053,2.3786886432135526
14,14,16,20.258771122719192,1.0097982953436389,178.6875,65.5,-1.1431472447128248,28,39.99032258064517,0.8700949744389064,0.9187145557655956,3.2335701046555174
16,16,11,13.313348979501388,1.0013355253394898,209.36363636363637,73.0,-1.2526471506937142,35,58.138888888888836,0.9551986475063398,0.9562846125976916,1.966687509637375
17,17,25,24.485933448041795,5.781406678142267,219.0,162.28,-0.1997086833745057,36,86.25,0.8385185185185187,0.8551070601851863,3.223692352170158
18,18,7,10.376916011304724,0.8530986810643815,223.28571428571428,367.0,-0.8775094979726132,39,20.172712185870083,0.8043381555946794,0.7418806809800663,1.3554479943902091
19,19,33,39.846457108096594,2.3266301019768845,262.0,420.93939393939394,0.29875018676191256,43,100.12197875850687,0.9005735259948204,0.9494460377749261,1.5034018387404884
20,20,52,57.110943913282284,8.16489614881341,281.4807692307692,411.8076923076923,0.45986502883975894,45,121.13652869197213,0.983249252377356,0.5413438465568556,2.232912026817693
21,21,41,43.741224930726794,6.627305972316455,307.8292682926829,315.2439024390244,-0.2010392352680968,48,123.12762336925698,0.9816557225099096,0.988335723327242,2.1834101398317456
22,22,43,57.16959982944869,1.9013737206016268,321.0232558139535,370.4186046511628,0.5248148313008218,49,111.53647058823526,0.9982628331757194,0.9745988634112535,3.6077979147299195
24,24,25,28.90923708644903,1.9839382751184642,327.0,497.4,-0.0671401134671195,51,56.26490486257927,0.8665142492699055,0.9888372143928715,3.7844705911725125
26,26,19,23.962296292684304,1.3773158827545047,330.0,56.31578947368421,0.41773570776051827,53,55.9561310782241,0.9765803210735104,0.9778836725862927,2.0434144713668267
27,27,19,21.909206242235655,0.8857007218582229,326.94736842105266,446.0,-1.56552460205737,54,49.9439393939394,0.9066439632960974,0.9277491960125674,2.7853797904422763
28,28,25,30.549460117459372,1.414526963956212,331.16,105.0,1.2347438451604236,55,67.6960183227625,0.997711418292062,0.9894267938985473,3.521130449857949
29,29,45,60.909591656531276,1.6435176930765822,350.0444444444444,127.0,1.0212575897138707,56,124.75277310924369,0.996205062481659,0.9786680968969523,3.9582942278522184
31,31,29,32.065886278667435,3.390215717246479,360.7586206896552,184.55172413793105,-0.3377445278635622,59,128.94621949885106,0.9579508609322148,0.9542619834758567,2.17896813609424
32,32,16,24.638081287309113,0.8455474439371459,371.125,31.5,-0.8451208141348497,62,61.22427690848745,0.9887702812793453,0.9859303090072321,3.0683416810753714
34,34,12,13.808210118138652,0.0,381.5,496.0,0.0,64,63.000000000000014,0.9506172839506173,0.94976,1.597167333356455
35,35,29,34.862663902887384,1.346203436266615,387.6896551724138,362.0,1.286604509369216,65,91.65210084033617,0.98928213309957,0.9927618227923389,3.5408738578708734
37,37,18,22.641010953445754,1.1871454687502483,406.1111111111111,48.5,-1.158864136488393,67,50.215120967741946,0.8042832865829939,0.9789807054573377,3.32576717383581
38,38,29,35.902316992251826,1.187968163373157,417.37931034482756,22.0,-1.200097719268405,68,72.14152735562307,0.9845689330069577,0.9882022718301828,4.832837658520398
39,39,47,55.50178184068251,5.979095825192276,433.2340425531915,216.72340425531914,-0.5936160600106848,69,72.34340012928247,0.9687213859483854,0.3128945777337814,5.878121561521494
41,41,17,20.41668331672013,1.4275626355175897,435.0,127.23529411764706,-0.28522767441669455,73,95.11384615384614,0.9886949327256944,0.9318756328270319,2.614161703855154
42,42,17,21.038095668561077,1.3620859170096449,432.47058823529414,68.0,-1.197554084812116,75,85.62990196078432,0.9029284971012337,0.7289829512051742,2.4631410564404836
44,44,12,14.649445872028007,1.132530145916853,459.5,118.91666666666667,-0.3416004198183384,79,56.34999999999999,0.9781129843241645,0.9702558001189768,1.759339872822859
45,45,19,21.960253722283714,1.0974152198852114,466.0,250.31578947368422,-0.06848587815153291,80,110.67521367521373,0.9884710071542222,0.9790325347314714,2.257527318147485
