,index,area,major_axis_length,minor_axis_length,centroid-0,centroid-1,orientation,label,speed (nm/s),r^2,skele r^2,MT len (um),Motor Type,Motor_Conc_uM,MT_Conc_uM,ATP_Conc_uM,ADP_Conc_uM,P_Conc_uM,Flag_Conc_mg-ml,BSA_Caesin_Both,Acq_Time_s,Time_Interval_s,Cy5_exptime_ms,Cy5_gain,YFP_exptime_ms,YFP_gain,Temperature
0,0,15,20.23011120205782,1.1567870624839878,71.26666666666667,499.0,-1.02314715442309,7,72.3068181818182,0.9844036108781395,0.9802964908988554,1.9330881659946542,NCD_YFP_ilid,0.001,0.04,100.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.2
1,1,50,58.42599902260406,1.353897415120205,75.84,383.5,-1.4155236417603818,8,144.631914893617,0.9881065168994768,0.9932796570149836,3.3104594257695794,NCD_YFP_ilid,0.001,0.04,100.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.2
2,2,28,25.709422038160366,5.546198007762189,96.89285714285714,363.92857142857144,1.1000760551593751,10,78.64230769230772,0.9607737615475231,0.9279580511368464,2.606830851477076,NCD_YFP_ilid,0.001,0.04,100.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.2
3,3,55,69.1583393840987,1.3479563033745159,109.21818181818182,68.0,1.1545242573072723,11,79.80063348416282,0.9908207661593282,0.9663911263914873,6.6125530412649365,NCD_YFP_ilid,0.001,0.04,100.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.2
4,4,24,35.85464744245709,1.6582558103804763,109.20833333333333,179.25,0.8271629914510977,13,47.265520361990944,0.9818647141670506,0.9875891536146879,3.131601070952298,NCD_YFP_ilid,0.001,0.04,100.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.2
5,5,18,20.997145083894736,1.1369862936939616,110.5,386.05555555555554,0.1530240075425794,14,116.769230769231,0.9745638200183656,0.987938727866186,1.988513602883837,NCD_YFP_ilid,0.001,0.04,100.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.2
8,8,41,47.32884681960565,3.250297649749521,131.0,365.1463414634146,-0.0029756979137427874,18,81.19034954407294,0.9706542903442337,0.9641242239156,2.9444966187083277,NCD_YFP_ilid,0.001,0.04,100.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.2
9,9,45,49.15853191040672,7.141029055330862,140.2,35.733333333333334,-0.5516384683769571,19,97.43049773755654,0.9393205739691488,0.9708521914749596,3.5576230576158236,NCD_YFP_ilid,0.001,0.04,100.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.2
10,10,17,19.90039507277466,1.4653621832532904,131.0,49.76470588235294,-0.17563441839908023,20,115.8174019607844,0.9704007034875454,0.9805300162249866,2.3147342062265253,NCD_YFP_ilid,0.001,0.04,100.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.2
11,11,49,56.70624622538452,1.4074732562012426,165.40816326530611,66.0,1.5010703898914597,26,124.31968325791854,0.9985786809235252,0.9900948355447505,2.6711447642509483,NCD_YFP_ilid,0.001,0.04,100.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.2
12,12,94,77.39324024329868,15.568225982812674,208.17021276595744,345.3829787234043,-0.1680199027826775,27,110.20272476711924,0.9942612708248398,0.6734910408915441,4.458299419261009,NCD_YFP_ilid,0.001,0.04,100.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.2
13,13,26,33.41328645763297,1.3419421784191492,194.1153846153846,294.5,-1.1144577909125781,29,34.02126696832577,0.989374368568184,0.8872518304886695,3.5192987416114865,NCD_YFP_ilid,0.001,0.04,100.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.2
14,14,38,49.56767369223606,2.3581688228523063,241.5,209.97368421052633,-0.4850708942394372,32,84.92932126696829,0.989344563517287,0.9624699638473604,2.502190137510439,NCD_YFP_ilid,0.001,0.04,100.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.2
15,15,41,50.112136595606586,2.7391775415898367,312.0,453.5121951219512,0.3353862885750509,39,84.56506787330315,0.9799471395235397,0.9596518327775155,2.797956818069029,NCD_YFP_ilid,0.001,0.04,100.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.2
16,16,45,61.65168216891744,2.515426344261656,318.0444444444444,487.0,-0.5778500745271491,40,77.82638009049772,0.9906626030234459,0.9555766908995414,4.348394181172323,NCD_YFP_ilid,0.001,0.04,100.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.2
17,17,8,11.349132818755459,0.9732339195937348,300.125,124.5,-0.9373071785762959,41,56.06249999999995,0.8738636861713783,0.9600000000000001,1.7284263334263041,NCD_YFP_ilid,0.001,0.04,100.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.2
18,18,17,22.717995377042524,1.5214569916347616,341.3529411764706,356.94117647058823,1.0079691202975392,45,20.900859728506788,0.9242424813056951,0.7626214641443732,2.1161366994877935,NCD_YFP_ilid,0.001,0.04,100.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.2
20,20,29,33.95258958404926,1.3450117078687478,366.1034482758621,431.0,-1.4012279554580962,48,54.448597285067855,0.9711754771221649,0.9631484526958358,3.1770884365331216,NCD_YFP_ilid,0.001,0.04,100.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.2
24,25,57,67.09048621014354,1.6134417884728554,469.2456140350877,473.0,1.3748819978289388,58,131.03651583710405,0.996712750378773,0.9893194677164237,4.234085751428596,NCD_YFP_ilid,0.001,0.04,100.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.2
25,26,50,62.456594834271954,4.4151740291401484,491.34,420.38,1.1477484625015548,59,114.27357466063346,0.9481446599164778,0.9829335674736077,3.904972236505705,NCD_YFP_ilid,0.001,0.04,100.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.2
26,27,51,60.07437174031525,2.7699648131348105,500.03921568627453,122.0,1.3707081873112308,60,124.90248868778276,0.995541405806177,0.9691960401674835,3.1636560163433636,NCD_YFP_ilid,0.001,0.04,100.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.2
