,index,area,major_axis_length,minor_axis_length,centroid-0,centroid-1,orientation,label,speed (nm/s),r^2,skele r^2,MT len (um),Motor Type,Motor_Conc_uM,MT_Conc_uM,ATP_Conc_uM,ADP_Conc_uM,P_Conc_uM,Flag_Conc_mg-ml,BSA_Caesin_Both,Acq_Time_s,Time_Interval_s,Cy5_exptime_ms,Cy5_gain,YFP_exptime_ms,YFP_gain,Temperature
0,0,31,38.84915623163628,1.1702524903475024,45.0,454.80645161290323,0.400545953548334,2,106.82066869300914,0.9927758306549985,0.9755510520849056,3.5406262515939395,NCD_YFP_ilid,0.001,0.04,1420.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,,100.0,4.0,26.6
1,1,69,85.90655819520279,1.7134073743083962,96.0,260.92753623188406,-0.3835926957033111,6,158.7850749986998,0.9934380737313572,0.8139278232606568,5.212486193614291,NCD_YFP_ilid,0.001,0.04,1420.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,,100.0,4.0,26.6
2,2,12,15.259217022237028,1.8380745606459916,71.75,386.5833333333333,1.0560231268569933,7,131.4833333333334,0.9754269054560599,0.9152666179693205,1.8780197026649215,NCD_YFP_ilid,0.001,0.04,1420.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,,100.0,4.0,26.6
4,4,43,53.0954464091067,2.412697624664698,146.62790697674419,282.0,1.2075719667205365,12,131.17044809982977,0.9895543247891331,0.9883539791806577,2.8616956075032842,NCD_YFP_ilid,0.001,0.04,1420.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,,100.0,4.0,26.6
6,6,17,20.588693045852903,1.7195725446495735,171.2941176470588,180.0,1.2578583298995905,18,84.49473684210527,0.9820342197518904,0.9357150900030687,2.445998543169046,NCD_YFP_ilid,0.001,0.04,1420.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,,100.0,4.0,26.6
8,8,25,31.424168527172444,1.698008355652231,244.0,126.32,0.40866010635320266,26,131.56196581196582,0.9566591207297349,0.9106861100640364,2.221936307092418,NCD_YFP_ilid,0.001,0.04,1420.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,,100.0,4.0,26.6
9,9,37,43.561091110965776,2.1871038003898953,305.5405405405405,446.0,-1.372346793991485,32,181.78846153846152,0.9929651533359776,0.9898948329336411,2.035852612585901,NCD_YFP_ilid,0.001,0.04,1420.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,,100.0,4.0,26.6
11,11,40,54.857137482257556,3.0861735616606483,350.35,263.475,0.600168794383732,36,134.68468468468464,0.9886126627218935,0.9878610591264042,2.6088360204106507,NCD_YFP_ilid,0.001,0.04,1420.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,,100.0,4.0,26.6
12,12,72,85.2857681221917,2.0974947444063976,392.5,237.69444444444446,-0.22536580023930886,39,144.60290370080577,0.9723298477262263,0.9626284034593819,4.924291749156466,NCD_YFP_ilid,0.001,0.04,1420.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,,100.0,4.0,26.6
13,13,15,17.281975195754296,0.0,424.0,22.0,1.5707963267948966,41,27.90909502262442,0.9244142411836124,0.9228461620816155,1.9110702353124693,NCD_YFP_ilid,0.001,0.04,1420.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,,100.0,4.0,26.6
14,14,33,40.38897922245021,4.589619698348,465.030303030303,69.96969696969697,1.2147452824759577,46,149.27589743589743,0.9485949859033597,0.9886972040452112,2.3972495999343604,NCD_YFP_ilid,0.001,0.04,1420.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,,100.0,4.0,26.6
