,index,area,major_axis_length,minor_axis_length,centroid-0,centroid-1,orientation,label,speed (nm/s),r^2,skele r^2,MT len (um),Motor Type,Motor_Conc_uM,MT_Conc_uM,ATP_Conc_uM,ADP_Conc_uM,P_Conc_uM,Flag_Conc_mg-ml,BSA_Caesin_Both,Acq_Time_s,Time_Interval_s,Cy5_exptime_ms,Cy5_gain,YFP_exptime_ms,YFP_gain,Temperature
0,0,22,31.84130729122104,2.020287902546216,75.63636363636364,390.8636363636364,-0.691762908304627,9,147.73076923076917,0.978199290042669,0.979903847924994,3.5989656161720727,NCD_YFP_ilid,0.001,0.04,1420.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.2
1,2,22,22.67743078578053,3.1880848517956877,109.81818181818181,136.0909090909091,1.4832626889330252,15,146.36363636363643,0.9855,0.9359345628207082,3.0074579273374984,NCD_YFP_ilid,0.001,0.04,1420.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.2
3,4,64,95.61176682522046,3.4180423212232527,155.359375,319.15625,0.7384463285660506,21,152.46487394957984,0.9952497499336884,0.9827750287545002,3.7031793056018953,NCD_YFP_ilid,0.001,0.04,1420.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.2
4,5,61,90.88660753984752,2.665587108504162,247.2295081967213,38.98360655737705,-0.7666780565941012,31,116.8469696969697,0.9972867543697063,0.9816023873040052,2.487405654012303,NCD_YFP_ilid,0.001,0.04,1420.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.2
5,6,71,75.77817631910489,7.12637582462367,275.5633802816901,290.0845070422535,0.5621033378704346,35,148.42551732974567,0.9422125658084419,0.9553076537769252,4.131872090002212,NCD_YFP_ilid,0.001,0.04,1420.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.2
7,8,11,12.662340189347711,1.4301420273825927,250.1818181818182,322.0,-1.5247856999060623,37,97.75000000000013,0.8442906574394471,0.6666666666666662,2.187063105925096,NCD_YFP_ilid,0.001,0.04,1420.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.2
8,9,20,23.94311580214283,1.134550873772604,336.5,120.2,0.27196076240613587,45,121.19230769230766,0.9896638073418936,0.9493988637864976,2.7870447711589676,NCD_YFP_ilid,0.001,0.04,1420.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.2
9,10,35,40.82608135330825,3.4513617109174373,372.8285714285714,40.285714285714285,-0.5268099447340693,54,145.7625,0.9031611352958644,0.9058512991017293,3.753021831768599,NCD_YFP_ilid,0.001,0.04,1420.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.2
10,11,64,75.0715885430418,3.4819220445373182,426.734375,16.015625,-0.26530301226880676,59,226.8237316263631,0.9762008761215895,0.9852782973692394,3.2692912652409674,NCD_YFP_ilid,0.001,0.04,1420.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.2
12,13,35,49.07321186261658,3.3665036572832925,484.3142857142857,294.2857142857143,0.9135932173341141,62,183.87894736842085,0.9848736283572445,0.9788830732292917,3.991095734647513,NCD_YFP_ilid,0.001,0.04,1420.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.2
13,14,60,69.27426406860866,3.7244990680936447,484.01666666666665,423.5,1.563467686690721,65,213.38798008534852,0.9863970383465357,0.9828487309093795,3.4293978448558398,NCD_YFP_ilid,0.001,0.04,1420.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.2
