,index,area,major_axis_length,minor_axis_length,centroid-0,centroid-1,orientation,label,speed (nm/s),r^2,skele r^2,MT len (um),Motor Type,Motor_Conc_uM,MT_Conc_uM,ATP_Conc_uM,ADP_Conc_uM,P_Conc_uM,Flag_Conc_mg-ml,BSA_Caesin_Both,Acq_Time_s,Time_Interval_s,Cy5_exptime_ms,Cy5_gain,YFP_exptime_ms,YFP_gain,Temperature
0,0,72,92.59206559621344,1.5049731499471948,80.0,204.5,-1.1147145473189706,6,171.06067873303164,0.9936850895995686,0.9783287124620277,5.539543929558667,NCD_YFP_ilid,500.0,0.04,1420.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.2
1,1,42,52.95979849480513,2.8290471120099308,112.47619047619048,447.0238095238095,-0.42206635449511465,11,200.52068376068377,0.9719114318263213,0.9757037654450389,3.0664534446891865,NCD_YFP_ilid,500.0,0.04,1420.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.2
2,2,91,126.57674756945057,2.6812663888467902,138.0,145.23076923076923,0.5916594468020696,12,163.69547511312211,0.9955275711860816,0.9878741372512357,9.178559606213204,NCD_YFP_ilid,500.0,0.04,1420.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.2
3,3,113,105.06777113244765,31.610863176497446,147.8053097345133,414.46017699115043,-0.6037185328635306,14,123.0222640075877,0.9501099325502609,0.7417748197559422,6.7795267670914345,NCD_YFP_ilid,500.0,0.04,1420.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.2
5,5,16,21.267650125219504,1.1987736030005216,182.125,81.5,1.0482380241042302,18,97.94166666666676,0.9916807406017388,0.8994708994708991,2.3257091437692288,NCD_YFP_ilid,500.0,0.04,1420.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.2
6,6,39,45.058447824073944,1.5145321480078289,188.2051282051282,303.0,-1.5286682945993075,19,184.51031991744057,0.9797201382867736,0.9930212365203397,3.8934693592941025,NCD_YFP_ilid,500.0,0.04,1420.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.2
9,9,13,19.362734549504122,1.1494334064972629,295.0769230769231,209.69230769230768,-0.7257038292127449,26,91.99999999999994,0.9791666666666666,0.24586666666666712,2.8178522935546697,NCD_YFP_ilid,500.0,0.04,1420.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.2
10,10,88,104.76503795152851,3.276141634075956,411.5,216.22727272727272,0.24627673803737238,34,219.7806943466604,0.9763824588481028,0.987637144594497,4.878093734097283,NCD_YFP_ilid,500.0,0.04,1420.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.2
11,11,21,25.625434469426544,3.6773698884134323,392.3809523809524,290.3333333333333,1.0833110138617463,36,77.94017807456872,0.9869444780168033,0.9540848513124265,2.7127887969388733,NCD_YFP_ilid,500.0,0.04,1420.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.2
13,13,20,21.325473131051524,3.2286523096796125,455.85,55.05,-0.11969472287564,38,104.36249999999997,0.9780499712881381,0.9282893913804966,2.3248885198397056,NCD_YFP_ilid,500.0,0.04,1420.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.2
