,index,area,major_axis_length,minor_axis_length,centroid-0,centroid-1,orientation,label,speed (nm/s),r^2,skele r^2,MT len (um),Motor Type,Motor_Conc_uM,MT_Conc_uM,ATP_Conc_uM,ADP_Conc_uM,P_Conc_uM,Flag_Conc_mg-ml,BSA_Caesin_Both,Acq_Time_s,Time_Interval_s,Cy5_exptime_ms,Cy5_gain,YFP_exptime_ms,YFP_gain,Temperature
0,0,56,81.2109028856696,2.399716701913305,63.160714285714285,343.44642857142856,-0.6903971471164685,2,98.58153846153843,0.9861731207083623,0.9774202139281476,7.724561000684581,NCD_YFP_ilid,0.001,0.04,70.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.1
1,1,56,77.53923340272297,1.7522398644422585,107.51785714285714,201.53571428571428,0.5877795047207697,4,97.99873303167419,0.9983823203344531,0.9777106417865302,5.7991693664202835,NCD_YFP_ilid,0.001,0.04,70.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.1
2,2,70,84.10127028005908,1.541272511245519,97.25714285714285,108.5,1.2905246058870115,5,138.02289592760175,0.9940813151920378,0.9900204726034922,6.424047826351676,NCD_YFP_ilid,0.001,0.04,70.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.1
3,3,48,70.93445608606864,1.5083640130364784,151.5,231.95833333333334,-0.6744003986592136,9,68.94588235294114,0.9861184004780792,0.9463347151603317,6.606538423425851,NCD_YFP_ilid,0.001,0.04,70.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.1
4,4,53,71.59221962133391,1.542842307431226,162.03773584905662,148.0,1.024787541446416,10,92.27266968325786,0.9978754024028141,0.9745681979535162,5.669641176689783,NCD_YFP_ilid,0.001,0.04,70.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.1
5,5,48,64.09210443401807,3.419825254962046,196.10416666666666,478.5,1.0435108885339508,12,137.21000000000006,0.8974011045724789,0.9473702437623646,6.108618793190076,NCD_YFP_ilid,0.001,0.04,70.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.1
6,6,53,69.92167831632086,2.281346191700986,214.0188679245283,328.52830188679246,-0.5091685457402105,13,97.13180995475109,0.9897032357932252,0.9759920572338185,5.554465165875624,NCD_YFP_ilid,0.001,0.04,70.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.1
7,7,52,69.56740649685528,1.390023855567732,296.5,110.36538461538461,-0.5298304077425896,18,108.97994864411615,0.9445602741953794,0.8126726706908984,6.219763822988915,NCD_YFP_ilid,0.001,0.04,70.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.1
8,8,30,42.12686449614061,2.19356608476966,368.3333333333333,407.26666666666665,-0.8299351035594826,23,27.29607142857142,0.9456572069171276,0.9327537464130087,4.174649022668909,NCD_YFP_ilid,0.001,0.04,70.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.1
9,9,47,73.09487428898005,2.012728854202216,389.0,278.6595744680851,0.7346360128515774,24,72.0784615384616,0.9905439543127231,0.958453878866672,6.769850867678245,NCD_YFP_ilid,0.001,0.04,70.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.1
10,10,69,83.93560008559744,2.08304772870764,391.8840579710145,195.0,1.250365716156113,26,104.11090497737555,0.9922389877781934,0.9505599363193085,6.087224288714063,NCD_YFP_ilid,0.001,0.04,70.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.1
