,index,area,major_axis_length,minor_axis_length,centroid-0,centroid-1,orientation,label,speed (nm/s),r^2,skele r^2,MT len (um),Motor Type,Motor_Conc_uM,MT_Conc_uM,ATP_Conc_uM,ADP_Conc_uM,P_Conc_uM,Flag_Conc_mg-ml,BSA_Caesin_Both,Acq_Time_s,Time_Interval_s,Cy5_exptime_ms,Cy5_gain,YFP_exptime_ms,YFP_gain,Temperature
0,0,13,17.046439581993724,1.0082314781498898,29.0,151.92307692307693,0.5001026750221766,1,92.00000000000009,0.9427083333333331,0.7755102040816363,1.8663928204399447,NCD_YFP_ilid,0.001,0.04,1420.0,300.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.3
1,1,33,44.00621540770355,2.9685098090124504,42.666666666666664,346.969696969697,1.0358945111890143,2,79.2894736842105,0.827870170735971,0.9720545712123271,4.465514742274528,NCD_YFP_ilid,0.001,0.04,1420.0,300.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.3
2,2,21,24.455551906051113,2.012071059886222,62.0,126.28571428571429,0.13902398635611393,3,161.7318181818182,0.9754509530926886,0.9469021490626426,2.944648524114332,NCD_YFP_ilid,0.001,0.04,1420.0,300.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.3
3,3,59,79.51595600833318,3.4199319532946184,116.0,288.5762711864407,0.5426085688294936,7,127.19193277310924,0.9749668731067972,0.9893376522382548,6.279932235357194,NCD_YFP_ilid,0.001,0.04,1420.0,300.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.3
5,5,82,109.5722245396674,2.7907716806033807,243.5121951219512,203.28048780487805,0.5291737240470593,11,98.49025210084044,0.9836860021572988,0.9789588881724487,10.168863833808818,NCD_YFP_ilid,0.001,0.04,1420.0,300.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.3
6,6,15,20.3255594892457,1.0793353429159178,258.0,414.8,-0.5551954741059029,13,98.06363636363612,0.9830697259968812,0.9441222299168975,2.4969085058642757,NCD_YFP_ilid,0.001,0.04,1420.0,300.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.3
7,7,17,23.71942931194738,1.4084845845354892,367.05882352941177,418.05882352941177,0.9441811412726935,19,96.59999999999971,0.9444444444444439,0.5950413223140417,2.381259901711273,NCD_YFP_ilid,0.001,0.04,1420.0,300.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.3
8,8,48,65.84575029416477,3.081702519829244,394.5,160.72916666666666,0.5713232588667992,20,118.0045045045045,0.9726546218450689,0.9131415901110916,3.7256522636227736,NCD_YFP_ilid,0.001,0.04,1420.0,300.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.3
9,9,27,32.367876390975034,1.2666998681000823,408.8888888888889,489.0,1.2960203456831578,22,131.48333333333332,0.9832491309599762,0.9894765928063083,3.159189334826128,NCD_YFP_ilid,0.001,0.04,1420.0,300.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.3
10,10,26,30.648690224500122,4.568457647183567,437.0,88.57692307692308,-0.7156067250846623,24,124.90769230769217,0.9541285139917661,0.977149810708491,3.0152284484312464,NCD_YFP_ilid,0.001,0.04,1420.0,300.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.3
