,index,area,major_axis_length,minor_axis_length,centroid-0,centroid-1,orientation,label,speed (nm/s),r^2,skele r^2,MT len (um),Motor Type,Motor_Conc_uM,MT_Conc_uM,ATP_Conc_uM,ADP_Conc_uM,P_Conc_uM,Flag_Conc_mg-ml,BSA_Caesin_Both,Acq_Time_s,Time_Interval_s,Cy5_exptime_ms,Cy5_gain,YFP_exptime_ms,YFP_gain,Temperature
1,1,84,97.6216741917274,1.914764835719433,70.5,180.0595238095238,0.11402594751283716,2,156.09157838701086,0.9867161385495629,0.8670521581715493,6.992105934968235,NCD_YFP_ilid,0.001,0.04,100.0,500.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.3
3,3,41,57.87313462819129,1.2270946336872603,119.0,138.8048780487805,0.6133770903253211,7,124.87152714932127,0.9923721725654221,0.9604513135765472,3.486703890115738,NCD_YFP_ilid,0.001,0.04,100.0,500.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.3
4,4,53,82.1759394042246,1.777393275735979,135.20754716981133,301.39622641509436,-0.8074542842084702,8,109.44357466063344,0.9301708801435792,0.9396163688958483,5.348093385795067,NCD_YFP_ilid,0.001,0.04,100.0,500.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.3
6,6,53,73.71698096230584,4.627493422483456,141.0943396226415,210.30188679245282,-0.9353985644330659,11,100.46108597285065,0.8885274335581277,0.8538594460675761,5.012470571662145,NCD_YFP_ilid,0.001,0.04,100.0,500.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.3
8,8,22,29.097353023512742,1.3805906330800146,150.5,460.8181818181818,-0.5118562254657452,14,128.2350877192983,0.9394564225969843,0.9675673672115349,2.228633303432932,NCD_YFP_ilid,0.001,0.04,100.0,500.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.3
9,9,29,36.95243489563742,1.802780252611984,180.0,122.37931034482759,0.4384170573795846,16,86.56194331983804,0.9546996343808971,0.8540282787516583,3.2796345456630753,NCD_YFP_ilid,0.001,0.04,100.0,500.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.3
11,11,12,15.85525926239339,0.9716414233769058,223.5,478.25,-0.5148460257329297,20,62.20454545454543,0.9586549551947476,0.82716049382716,1.7110430558317735,NCD_YFP_ilid,0.001,0.04,100.0,500.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.3
12,12,50,60.86229043993879,1.792206016208807,232.66,154.5,1.2480932957593052,21,154.37608053397526,0.9937920568972833,0.9894774186990238,4.589378405122847,NCD_YFP_ilid,0.001,0.04,100.0,500.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.3
13,13,89,105.29918499907683,4.683529103974507,271.0,439.24719101123594,-0.22019301293927102,22,210.94647432026028,0.8497256110273084,0.35905698753603377,9.268337813809286,NCD_YFP_ilid,0.001,0.04,100.0,500.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.3
14,14,93,106.65527545632449,3.1281458252793426,293.59139784946234,491.06451612903226,-0.18091446665513652,24,154.07918552036193,0.993553793217794,0.9872124373012744,7.438231611986503,NCD_YFP_ilid,0.001,0.04,100.0,500.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.3
15,15,15,19.713710913870827,1.433194490909939,257.06666666666666,77.66666666666667,-0.5450183404137658,25,19.589547511312208,0.9546501194924637,0.9075513087447947,3.424187063760701,NCD_YFP_ilid,0.001,0.04,100.0,500.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.3
22,22,66,81.34965005126581,6.1595932471238815,417.3333333333333,404.75757575757575,-1.1682243462802249,36,100.49751131221724,0.9881899575162166,0.9845241547522908,4.914152461753972,NCD_YFP_ilid,0.001,0.04,100.0,500.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.3
23,23,45,65.03158488425656,3.888460869747844,428.97777777777776,127.84444444444445,-0.8999207629016298,37,140.73487645751476,0.886724647488744,0.7373753746099642,4.481976715215432,NCD_YFP_ilid,0.001,0.04,100.0,500.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.3
