,index,area,major_axis_length,minor_axis_length,centroid-0,centroid-1,orientation,label,speed (nm/s),r^2,skele r^2,MT len (um),Motor Type,Motor_Conc_uM,MT_Conc_uM,ATP_Conc_uM,ADP_Conc_uM,P_Conc_uM,Flag_Conc_mg-ml,BSA_Caesin_Both,Acq_Time_s,Time_Interval_s,Cy5_exptime_ms,Cy5_gain,YFP_exptime_ms,YFP_gain,Temperature
2,2,22,26.08252535926971,1.1780582737180931,11.090909090909092,388.5,-1.337459091090511,3,7.963025210084013,0.8701225374681868,0.2234609543240399,,NCD_YFP_ilid,0.001,0.04,20.0,0.0,5000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
4,4,21,24.445923823193798,1.2131110264846456,23.0,96.71428571428571,-0.13586436314541128,5,21.322352941176455,0.9398271019608853,0.9325745302813829,3.802126597696004,NCD_YFP_ilid,0.001,0.04,20.0,0.0,5000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
5,5,21,26.664525813680317,1.2511680175819502,26.0,203.47619047619048,-0.4319392722145801,6,8.392100840336141,0.882850887531531,0.34757646983581414,4.399846838728534,NCD_YFP_ilid,0.001,0.04,20.0,0.0,5000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
6,6,13,14.994141639182656,1.2795526427886128,32.0,234.0,-0.06080951163067329,8,10.47176470588236,0.8466438315005111,0.8328897796270275,2.1551397452912093,NCD_YFP_ilid,0.001,0.04,20.0,0.0,5000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
9,9,14,19.749794751432237,1.1369019534726348,79.07142857142857,315.5,-0.9540427714031964,20,15.489243697478994,0.8913600724561814,0.6393603409304796,2.854200160476268,NCD_YFP_ilid,0.001,0.04,20.0,0.0,5000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
11,11,12,13.818470014478832,0.968904199515241,98.5,304.0833333333333,-0.03863261557047656,23,14.066722689075617,0.8306704693233156,0.6217379837464081,1.4088735513199262,NCD_YFP_ilid,0.001,0.04,20.0,0.0,5000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
12,12,13,15.689975392659735,1.4357432111156112,98.15384615384616,56.0,1.2646390388568445,25,41.0461538461538,0.9565992865636146,0.6666666666666691,1.94978190552913,NCD_YFP_ilid,0.001,0.04,20.0,0.0,5000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
14,14,15,17.677071085710956,1.4548929123056864,108.0,94.06666666666666,-0.21255525199963754,27,13.47142857142857,0.9557686251181019,0.7409059162050338,2.2366512824679914,NCD_YFP_ilid,0.001,0.04,20.0,0.0,5000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
15,15,12,14.218722242350912,1.176219941350659,114.5,150.16666666666666,0.2417235007835995,29,13.836469344608869,0.8971923544573698,0.8209517455154532,1.9152395969117566,NCD_YFP_ilid,0.001,0.04,20.0,0.0,5000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
16,16,16,22.819631473245753,1.3045763393730225,125.8125,299.5,0.88387159571671,31,21.971764705882354,0.9832136183843335,0.8853389848502912,2.4747359506489524,NCD_YFP_ilid,0.001,0.04,20.0,0.0,5000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
17,17,27,36.015081111660976,1.3375739187966462,139.0,52.925925925925924,0.5259091734430632,32,18.125546218487397,0.9675927574648352,0.02788526132278868,5.319913439737031,NCD_YFP_ilid,0.001,0.04,20.0,0.0,5000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
18,18,23,27.783293762211393,1.1882083741646046,138.0,377.4347826086956,0.3014267140296713,33,19.5867226890756,0.9382485859796467,0.6658238454086071,3.6482750494736558,NCD_YFP_ilid,0.001,0.04,20.0,0.0,5000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
19,19,10,13.165267173724066,0.9569431772386335,135.5,272.6,-0.511607382658101,34,17.101176470588232,0.9647392244832559,0.8975271595620478,1.6338177166807142,NCD_YFP_ilid,0.001,0.04,20.0,0.0,5000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
22,22,12,14.915603475547199,3.0133583450694856,136.33333333333334,347.5,1.1744154265190347,37,27.4453781512605,0.9457369569529855,0.9265530674172251,1.2177458707475188,NCD_YFP_ilid,0.001,0.04,20.0,0.0,5000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
