,index,area,major_axis_length,minor_axis_length,centroid-0,centroid-1,orientation,label,speed (nm/s),r^2,skele r^2,MT len (um),Motor Type,Motor_Conc_uM,MT_Conc_uM,ATP_Conc_uM,ADP_Conc_uM,P_Conc_uM,Flag_Conc_mg-ml,BSA_Caesin_Both,Acq_Time_s,Time_Interval_s,Cy5_exptime_ms,Cy5_gain,YFP_exptime_ms,YFP_gain,Temperature
0,0,25,33.963418737465794,1.5251844686978941,16.0,264.2,-0.5568065366490665,1,61.91058823529415,0.9647262702332633,0.9681860855079095,2.546435977420698,NCD_YFP_ilid,0.001,0.04,40.0,0.0,10000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.5
2,2,22,28.355718697042846,1.1293941844023672,23.09090909090909,78.5,-1.1079393676922424,5,51.45815126050419,0.9909761868990384,0.9813515256257536,2.8604884753528377,NCD_YFP_ilid,0.001,0.04,40.0,0.0,10000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.5
4,4,29,38.574912101603246,1.1683232359016928,37.3448275862069,302.9655172413793,1.0384837886964149,8,38.27277310924369,0.995766879094246,0.43869750560508647,5.404975616253941,NCD_YFP_ilid,0.001,0.04,40.0,0.0,10000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.5
5,5,26,36.23270968613971,2.1251335456625617,38.61538461538461,461.5,0.9743294035849234,9,34.53478991596638,0.9826123858623663,0.8554195833974224,3.902874639477391,NCD_YFP_ilid,0.001,0.04,40.0,0.0,10000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.5
6,6,19,22.03434596080589,1.1458982695073716,34.68421052631579,491.0,-1.4638943207676207,13,21.47310924369747,0.9466437660867796,0.5838334451055924,2.8238278508039674,NCD_YFP_ilid,0.001,0.04,40.0,0.0,10000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.5
8,8,14,18.538682818808056,1.508781964731958,50.5,140.35714285714286,0.517935863670892,15,40.53798319327733,0.9765227999276832,0.9736977289049862,1.3149151648331503,NCD_YFP_ilid,0.001,0.04,40.0,0.0,10000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.5
9,9,31,37.1606744860427,1.1304070636156207,81.0,133.0,0.2738668131125822,16,25.655630252100828,0.9627819160640774,0.7720568644464991,4.947673023103457,NCD_YFP_ilid,0.001,0.04,40.0,0.0,10000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.5
10,10,15,18.137911985909383,1.182527383880402,94.0,52.13333333333333,-0.3091153570607358,20,45.431764705882344,0.9400874268944651,0.9328022559160404,1.5962600351344582,NCD_YFP_ilid,0.001,0.04,40.0,0.0,10000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.5
11,11,15,20.651137348237803,1.2725624201218966,108.8,292.93333333333334,0.9550073324892446,22,35.617142857142866,0.9744316566239246,0.962736536427826,1.925679797726899,NCD_YFP_ilid,0.001,0.04,40.0,0.0,10000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.5
12,12,31,36.2899937991165,1.6314840724347242,124.6774193548387,34.0,-1.4022975027828746,26,25.50100840336134,0.9678514969838634,0.8146798684972096,4.835656893984664,NCD_YFP_ilid,0.001,0.04,40.0,0.0,10000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.5
13,13,36,46.251934398234276,2.155795284882646,147.5,257.75,-0.4551938682288764,28,15.63613445378153,0.8998735181006022,0.7485563963309402,5.408566198864464,NCD_YFP_ilid,0.001,0.04,40.0,0.0,10000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.5
