,index,area,major_axis_length,minor_axis_length,centroid-0,centroid-1,orientation,label,speed (nm/s),r^2,skele r^2,MT len (um),Motor Type,Motor_Conc_uM,MT_Conc_uM,ATP_Conc_uM,ADP_Conc_uM,P_Conc_uM,Flag_Conc_mg-ml,BSA_Caesin_Both,Acq_Time_s,Time_Interval_s,Cy5_exptime_ms,Cy5_gain,YFP_exptime_ms,YFP_gain,Temperature
0,0,68,79.01154329920858,1.3514971359306094,12.441176470588236,435.5,-1.4581750055356517,1,65.55832579185518,0.9954545578590976,0.9979187218777112,5.468149797822524,NCD_YFP_ilid,0.001,0.04,100.0,0.0,30000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
1,1,95,70.38558864080483,35.215570290878205,47.36842105263158,469.62105263157895,-0.4642526904372854,2,60.30936073059359,0.9592174318831613,0.960309714306106,6.224592684835341,NCD_YFP_ilid,0.001,0.04,100.0,0.0,30000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
2,2,47,51.34828642894691,5.397375379093974,37.638297872340424,216.2127659574468,-0.16077865205239023,3,48.63528077141234,0.9297841087359624,0.8063149522397024,4.440341932792917,NCD_YFP_ilid,0.001,0.04,100.0,0.0,30000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
4,4,41,58.782700381652226,3.0703376748448608,47.146341463414636,320.3658536585366,0.8522076322042077,7,42.581221719457055,0.9893462494539212,0.8942531748697088,6.247335607788083,NCD_YFP_ilid,0.001,0.04,100.0,0.0,30000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
5,5,26,31.059156828474787,1.5737554124738713,47.5,135.26923076923077,0.2622488678912915,8,37.85142857142863,0.8950941297743058,0.8673868967489509,3.3317879909390844,NCD_YFP_ilid,0.001,0.04,100.0,0.0,30000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
6,6,49,71.72845603959775,1.6503700209036127,68.93877551020408,199.0,0.9084013826386053,10,41.40104072398193,0.9951343214634466,0.960924046172428,8.855726785738561,NCD_YFP_ilid,0.001,0.04,100.0,0.0,30000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
7,7,36,43.7742019522695,1.92885406649301,86.27777777777777,401.6111111111111,-1.2035058966337402,13,79.82129765395887,0.9709916256948691,0.9363466716045692,4.201267862426356,NCD_YFP_ilid,0.001,0.04,100.0,0.0,30000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
8,8,38,47.11980830754256,1.5650644821527693,101.5,313.5263157894737,0.37416744966324295,15,54.26460578559272,0.9311046373726025,0.9121240190212545,4.6729617626461,NCD_YFP_ilid,0.001,0.04,100.0,0.0,30000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
9,9,49,56.81203391927172,1.3343751562286352,97.57142857142857,49.0,1.4781534424573748,16,75.5461538461538,0.9841679150753524,0.9771705102074045,5.7614254062073975,NCD_YFP_ilid,0.001,0.04,100.0,0.0,30000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
11,11,43,66.2684903890862,1.6687239547151889,137.46511627906978,440.9767441860465,0.8428501771488286,21,42.543339366515795,0.9446306383522343,0.8788812538449882,6.758397682816579,NCD_YFP_ilid,0.001,0.04,100.0,0.0,30000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
12,12,46,58.93596758922218,2.875442652343516,151.5,491.3478260869565,0.4492087004112082,23,61.70452488687782,0.8919272920560889,0.5873688650471753,5.829418775700234,NCD_YFP_ilid,0.001,0.04,100.0,0.0,30000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
14,14,45,61.84611358627641,1.594577912126171,207.0,310.6,-0.5737888244649341,26,64.18873303167419,0.9776659037121253,0.9422912940620689,6.344633157771282,NCD_YFP_ilid,0.001,0.04,100.0,0.0,30000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
15,15,41,47.79393942563108,2.1812371679928795,198.90243902439025,92.0,1.430997234158376,29,56.349999999999966,0.9680143550632923,0.9429738788979773,4.745270047892792,NCD_YFP_ilid,0.001,0.04,100.0,0.0,30000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
16,16,47,54.301908579546115,2.730684972240439,221.0,428.468085106383,0.03997361243832548,30,63.179461694492105,0.8621176054031234,0.8158267220223159,5.32108645522073,NCD_YFP_ilid,0.001,0.04,100.0,0.0,30000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
18,18,40,51.86341505406469,1.138498541859581,246.575,397.5,1.0978627697518948,34,80.54371040723977,0.9873301786702856,0.9628424149115992,3.688190717904933,NCD_YFP_ilid,0.001,0.04,100.0,0.0,30000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
19,19,21,29.622535787337117,1.5713345757010035,250.95238095238096,86.0,0.9563439456075526,36,47.92846153846152,0.9791499208666006,0.9802986361701025,2.156384533619791,NCD_YFP_ilid,0.001,0.04,100.0,0.0,30000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
20,20,54,64.93435492638271,2.8929321574134588,270.5,366.8888888888889,0.28374487789202973,37,45.029004524886865,0.9824741127595764,0.9318439483078713,7.340453169039238,NCD_YFP_ilid,0.001,0.04,100.0,0.0,30000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
22,22,36,42.37823719918373,2.128251943301193,268.0,402.5,1.3728950226234284,39,72.46457013574657,0.961106915814367,0.8321568144259394,3.9538053273747913,NCD_YFP_ilid,0.001,0.04,100.0,0.0,30000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
23,23,24,35.91637845178353,1.814259266488023,275.9583333333333,105.04166666666667,-0.7910976444955766,40,89.51494252873563,0.9382800482442384,0.9389162939249743,3.8208411061590017,NCD_YFP_ilid,0.001,0.04,100.0,0.0,30000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
24,24,38,53.8374078155774,1.3289870879036683,277.3421052631579,312.5,0.9520616051755945,41,22.102895927601814,0.9411875981967788,0.9231104168853311,7.401421636058379,NCD_YFP_ilid,0.001,0.04,100.0,0.0,30000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
