,index,area,major_axis_length,minor_axis_length,centroid-0,centroid-1,orientation,label,speed (nm/s),r^2,skele r^2,MT len (um),Motor Type,Motor_Conc_uM,MT_Conc_uM,ATP_Conc_uM,ADP_Conc_uM,P_Conc_uM,Flag_Conc_mg-ml,BSA_Caesin_Both,Acq_Time_s,Time_Interval_s,Cy5_exptime_ms,Cy5_gain,YFP_exptime_ms,YFP_gain,Temperature
1,1,47,62.44547418974453,1.7646908888543325,28.0,351.48936170212767,0.5180557923084466,2,62.644298642533876,0.9975575850852607,0.9593399144352425,,NCD_YFP_ilid,0.001,0.04,40.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
2,2,34,40.11209935969166,2.2108815140007807,25.5,234.02941176470588,-0.20888701061363624,3,77.85501671430647,0.8521037113181037,0.9075661506708377,2.4708010309999517,NCD_YFP_ilid,0.001,0.04,40.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
4,4,47,55.11670950561845,2.0222470459431463,30.46808510638298,116.0,1.393991029443327,5,48.241719457013566,0.9922460856205316,0.9731838776846876,6.217002569997351,NCD_YFP_ilid,0.001,0.04,40.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
5,5,32,45.36038266884359,1.7848484910698006,56.375,281.5,-0.9507951568470197,10,63.72248868778282,0.9897801040209872,0.9832952985358542,3.081828070032046,NCD_YFP_ilid,0.001,0.04,40.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
6,6,48,56.70531056820168,1.3568664993756514,60.0,153.5,-1.356881680888163,11,79.44366515837099,0.9968863266411745,0.9686173082625412,5.398219700111868,NCD_YFP_ilid,0.001,0.04,40.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
8,8,31,46.314527769978824,3.6124569516354947,117.58064516129032,273.48387096774195,0.7895371417019755,17,48.664253393665156,0.9914811096370134,0.9919308888398917,3.9355682220682335,NCD_YFP_ilid,0.001,0.04,40.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
10,10,22,28.29306405354398,1.2324996501733656,132.5,451.1818181818182,0.4584673476491742,21,27.71239819004526,0.9647913370285969,0.9448035292910638,3.929369932136834,NCD_YFP_ilid,0.001,0.04,40.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
11,11,39,45.81351349662344,1.4410469122076712,126.84615384615384,199.0,-1.3841373232993206,22,72.48642533936652,0.9874787673711943,0.9850091722829227,3.4174380955500023,NCD_YFP_ilid,0.001,0.04,40.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
12,12,13,18.049988164799245,1.590373603073432,133.30769230769232,21.0,0.9749987528027808,23,66.59545454545452,0.9373264098538823,0.9092702169625246,2.5952898928069956,NCD_YFP_ilid,0.001,0.04,40.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
13,13,56,65.61444478419689,1.3208465700360608,139.25,383.5,1.3993546951470306,24,72.68312217194564,0.9980972139164206,0.9774426178089819,6.808817041488757,NCD_YFP_ilid,0.001,0.04,40.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
