,index,area,major_axis_length,minor_axis_length,centroid-0,centroid-1,orientation,label,speed (nm/s),r^2,skele r^2,MT len (um),Motor Type,Motor_Conc_uM,MT_Conc_uM,ATP_Conc_uM,ADP_Conc_uM,P_Conc_uM,Flag_Conc_mg-ml,BSA_Caesin_Both,Acq_Time_s,Time_Interval_s,Cy5_exptime_ms,Cy5_gain,YFP_exptime_ms,YFP_gain,Temperature
0,0,53,69.31649712606412,2.397788995654238,61.660377358490564,306.0188679245283,1.0774796389375223,1,26.269954751131223,0.9881185473113513,0.9956327018735498,9.787459314391231,NCD_YFP_ilid,0.001,0.04,40.0,0.0,40000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
1,1,40,55.806956840283576,1.3760698480551108,95.075,128.5,0.9742209843706682,2,38.6982805429864,0.9904317949508878,0.9269863004914187,6.4889586480565375,NCD_YFP_ilid,0.001,0.04,40.0,0.0,40000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
2,2,32,44.808300448898045,2.307723094585481,126.15625,381.5,-0.9679287917838935,4,13.579366515837092,0.9563570275132469,0.7804487986545413,6.034950601658297,NCD_YFP_ilid,0.001,0.04,40.0,0.0,40000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
4,4,33,38.65278669447283,2.7428353849644127,148.0,414.3030303030303,-0.17165291940639896,6,15.054545454545485,0.924897119341564,0.6077701832919447,3.10630682003424,NCD_YFP_ilid,0.001,0.04,40.0,0.0,40000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
5,5,55,48.73643718796699,9.570513651088024,186.9090909090909,453.4,-0.4229227363701753,10,78.85003920924974,0.8917898648434907,0.8633357493594156,5.810235007899309,NCD_YFP_ilid,0.001,0.04,40.0,0.0,40000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
6,6,37,49.663674368963676,2.52093130227877,197.64864864864865,299.0,-1.034406876551244,12,44.21307692307694,0.8283817948555818,0.709300965181781,6.262050909209841,NCD_YFP_ilid,0.001,0.04,40.0,0.0,40000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
7,7,29,37.116079528689156,1.135092904387485,195.48275862068965,79.0,-1.1233882128785948,13,30.378733031674177,0.9821878708064723,0.8397798696130694,4.636473297395348,NCD_YFP_ilid,0.001,0.04,40.0,0.0,40000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
9,10,39,45.517150025714415,1.258122963769542,231.05128205128204,401.0,1.4225843007950538,18,31.631764705882365,0.9892393931620866,0.9290240325864189,6.035376237956489,NCD_YFP_ilid,0.001,0.04,40.0,0.0,40000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
10,11,34,39.56741531977817,1.3960861996629448,254.5,396.5,-1.4425404066292093,19,30.116470588235284,0.9850997860965821,0.9004926066543535,4.511821405238134,NCD_YFP_ilid,0.001,0.04,40.0,0.0,40000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
11,12,51,64.35812553325856,1.208135003523557,266.7647058823529,306.0,-1.1550729162563556,20,25.59244343891403,0.9806044035752745,0.9668609381000836,8.634413755568684,NCD_YFP_ilid,0.001,0.04,40.0,0.0,40000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
17,18,56,67.17227769079261,1.9239117343729262,392.39285714285717,223.5,-1.2959344124776244,28,24.98778280542985,0.9831589445440816,0.9988050253789119,9.430576666513963,NCD_YFP_ilid,0.001,0.04,40.0,0.0,40000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
18,19,37,43.98122608406366,1.289743968978955,402.1621621621622,267.0,-1.3295146808141975,30,29.37339366515835,0.8979163714096747,0.7757427241464732,5.21280634386343,NCD_YFP_ilid,0.001,0.04,40.0,0.0,40000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
20,21,18,20.87228239053907,1.4579456736691185,449.5,475.3333333333333,0.10744412277547667,33,35.61034482758618,0.8171933670963931,0.6542754120879123,2.46353826003247,NCD_YFP_ilid,0.001,0.04,40.0,0.0,40000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
