,index,area,major_axis_length,minor_axis_length,centroid-0,centroid-1,orientation,label,speed (nm/s),r^2,skele r^2,MT len (um),Motor Type,Motor_Conc_uM,MT_Conc_uM,ATP_Conc_uM,ADP_Conc_uM,P_Conc_uM,Flag_Conc_mg-ml,BSA_Caesin_Both,Acq_Time_s,Time_Interval_s,Cy5_exptime_ms,Cy5_gain,YFP_exptime_ms,YFP_gain,Temperature
0,0,117,128.43894254356832,9.058487669409116,70.3076923076923,85.77777777777777,-0.1956468090261761,2,104.94140271493215,0.9262082988510706,0.6389807775636517,10.35213601123895,NCD_YFP_ilid,0.001,0.04,1420.0,0.0,20000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
1,1,18,21.74798675833682,3.10521430980596,105.44444444444444,496.1666666666667,0.3569836000299334,6,96.42307692307688,0.9724770642201834,0.9723183391003459,2.6366718347388387,NCD_YFP_ilid,0.001,0.04,1420.0,0.0,20000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
2,2,99,114.31605457186225,3.559464355571429,153.0,374.27272727272725,0.01069642037250336,8,212.59737923443802,0.9783526664450306,0.9932710959107102,9.447032682744931,NCD_YFP_ilid,0.001,0.04,1420.0,0.0,20000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
3,3,48,58.439511677645875,2.479891886187776,119.52083333333333,444.5,1.2472863467203348,9,204.16038461538457,0.9780737426483704,0.9720840956371979,3.4501374065267933,NCD_YFP_ilid,0.001,0.04,1420.0,0.0,20000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
5,5,79,83.22540200073082,7.355335509328442,218.1012658227848,290.56962025316454,0.011183284515078351,14,163.77426298057748,0.9042315895999254,0.9469667358958691,4.401942821965852,NCD_YFP_ilid,0.001,0.04,1420.0,0.0,20000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
8,8,25,31.712230456559915,1.617417531138379,218.0,389.32,0.4291500031933281,18,154.98461538461558,0.9926971914680678,0.9736540431669709,3.5030828874544286,NCD_YFP_ilid,0.001,0.04,1420.0,0.0,20000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
9,9,14,21.274192186680086,0.8924695547977007,213.5,413.35714285714283,-0.7114088395273188,20,120.99393939393907,0.9462148803329862,0.9349112426035504,2.8400853967139543,NCD_YFP_ilid,0.001,0.04,1420.0,0.0,20000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
10,10,78,99.45771190171959,4.250903861853963,255.21794871794873,404.5,-1.1321345341024376,22,157.35687538216942,0.9269203320949528,0.9052058354607001,9.07316305706734,NCD_YFP_ilid,0.001,0.04,1420.0,0.0,20000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
11,11,99,123.58422253619133,3.0744652899902722,287.0,192.21212121212122,-0.3900132482477015,23,180.15140271493203,0.9290048463117448,0.8865112279556667,8.429096253492649,NCD_YFP_ilid,0.001,0.04,1420.0,0.0,20000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
13,13,18,18.65737590920957,5.896314248181706,247.88888888888889,255.05555555555554,0.2951815242616396,25,57.49999999999983,0.8999999999999995,0.5185185185185157,2.677850649552763,NCD_YFP_ilid,0.001,0.04,1420.0,0.0,20000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
14,14,46,53.59832529938565,5.363731874282559,286.5,271.10869565217394,0.13665438245648667,27,258.9722033898305,0.8462131162191879,0.9709565701373726,3.4349275757559226,NCD_YFP_ilid,0.001,0.04,1420.0,0.0,20000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
17,17,65,93.51071083047512,1.2470942237582547,361.0,100.6923076923077,-0.639311714749923,35,166.56805849189575,0.9975929740414285,0.9832933150846952,5.8926763939401505,NCD_YFP_ilid,0.001,0.04,1420.0,0.0,20000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
