,index,area,major_axis_length,minor_axis_length,centroid-0,centroid-1,orientation,label,speed (nm/s),r^2,skele r^2,MT len (um),Motor Type,Motor_Conc_uM,MT_Conc_uM,ATP_Conc_uM,ADP_Conc_uM,P_Conc_uM,Flag_Conc_mg-ml,BSA_Caesin_Both,Acq_Time_s,Time_Interval_s,Cy5_exptime_ms,Cy5_gain,YFP_exptime_ms,YFP_gain,Temperature
0,0,55,66.3458646888112,1.5861353885510465,35.0,479.4909090909091,0.29414335565573574,2,83.21004524886888,0.9930292697148698,0.9612211868412548,5.867714183136238,NCD_YFP_ilid,0.001,0.04,100.0,0.0,10000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
1,1,38,56.419233693304385,2.5076586707093793,28.789473684210527,246.6578947368421,0.8646049086747913,4,80.3688687782805,0.989894342132225,0.9016014755531749,4.200138648033177,NCD_YFP_ilid,0.001,0.04,100.0,0.0,10000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
2,2,34,41.06191206862465,1.6540816984287179,30.58823529411765,62.5,1.2717757063468353,8,80.82054298642532,0.9975933949639936,0.9774456026324743,3.0923130994694215,NCD_YFP_ilid,0.001,0.04,100.0,0.0,10000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
3,3,28,34.73249163791643,1.6662753678960285,41.964285714285715,143.5,-1.194724389503486,10,137.00000000000006,0.9186080969631215,0.7327262815427937,2.5895888381657817,NCD_YFP_ilid,0.001,0.04,100.0,0.0,10000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
4,4,20,29.402975790475434,1.9039471276050541,81.2,369.0,0.7774062790024233,14,83.00909090909093,0.984047019311503,0.9644290780094229,3.5243245829561225,NCD_YFP_ilid,0.001,0.04,100.0,0.0,10000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
5,5,27,31.454298525647577,1.8246742780660594,76.25925925925925,289.0,-1.4326218224380214,16,80.56192307692304,0.9918285526240384,0.9441051294250007,2.6783822843051106,NCD_YFP_ilid,0.001,0.04,100.0,0.0,10000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
6,6,39,58.65554361349332,1.406492969049812,109.0,89.35897435897436,0.696094200859977,19,77.54226244343893,0.9981349766035614,0.9704975388072422,3.644848065614274,NCD_YFP_ilid,0.001,0.04,100.0,0.0,10000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
7,7,33,45.15740556382046,2.38003230698366,102.12121212121212,37.0,-1.0027702497756594,21,77.70112524874092,0.9564373372429691,0.9550988070794357,2.457532210420601,NCD_YFP_ilid,0.001,0.04,100.0,0.0,10000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
9,9,44,50.79545898898328,1.8771855095756698,130.5,440.3636363636364,0.008326896168508223,25,101.96180995475116,0.9853185641875442,0.9807107079609085,3.2393681462217985,NCD_YFP_ilid,0.001,0.04,100.0,0.0,10000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
15,15,65,75.80580706513324,2.6536287195668864,200.98461538461538,418.95384615384614,1.198299579450564,47,107.65873303167416,0.9968118887493888,0.9882753865770281,6.031749904048579,NCD_YFP_ilid,0.001,0.04,100.0,0.0,10000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
16,16,36,52.10863111327118,1.4226372813758106,222.5,39.166666666666664,-0.6480483441188998,50,87.41352941176467,0.9675346425732901,0.9658394435262021,4.014436824705924,NCD_YFP_ilid,0.001,0.04,100.0,0.0,10000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
17,17,45,52.92135010964553,1.4987521902822567,210.8,367.0,-1.378698110750446,51,100.57036199095026,0.9914220173076093,0.987760092877259,3.9423794931662544,NCD_YFP_ilid,0.001,0.04,100.0,0.0,10000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
18,18,31,36.96184203532104,2.4548294381350697,214.5483870967742,465.03225806451616,1.2945783001996265,52,107.8412846044425,0.9854786525645037,0.9740229061581737,2.1879365743160903,NCD_YFP_ilid,0.001,0.04,100.0,0.0,10000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
22,22,42,48.484526535522505,3.358933261909164,302.5,286.1666666666667,-0.005943700039418409,67,87.48638009049775,0.9673964768649251,0.9719905927358704,2.7256494709073213,NCD_YFP_ilid,0.001,0.04,100.0,0.0,10000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
24,24,42,56.838414295287535,1.8656977776980108,302.9761904761905,178.5,1.0213938590542806,69,71.48837104072395,0.9882915551555623,0.9457977020998098,3.848381723499442,NCD_YFP_ilid,0.001,0.04,100.0,0.0,10000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
25,25,47,55.39939592484384,1.4526494951593896,319.9148936170213,76.0,1.367439675420712,72,111.14099547511312,0.9953362628617719,0.9821075001316265,3.396746290788814,NCD_YFP_ilid,0.001,0.04,100.0,0.0,10000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
26,26,25,31.477046331374176,1.3453454026842735,351.2,270.04,1.138557371127632,79,39.47778280542985,0.9900198626093561,0.8912538247292098,2.897637182544828,NCD_YFP_ilid,0.001,0.04,100.0,0.0,10000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
27,27,15,17.7157112920878,1.0843411075925562,358.6666666666667,107.0,-1.3486356120368188,83,100.86176470588238,0.9925114064669709,0.9445117467875774,1.3079899582409755,NCD_YFP_ilid,0.001,0.04,100.0,0.0,10000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
28,28,9,11.265176392634526,1.046805064388663,402.3333333333333,327.0,1.1581079015345275,90,66.1249999999999,0.8506616257088843,0.40000000000000047,1.7726930283667934,NCD_YFP_ilid,0.001,0.04,100.0,0.0,10000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
29,29,30,36.632275130627065,1.2132494836584455,416.5,409.76666666666665,0.33303527174130254,92,67.34024510340298,0.9753139071476632,0.9478844762729792,2.177238629368859,NCD_YFP_ilid,0.001,0.04,100.0,0.0,10000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
30,30,27,36.10324348302646,2.0518603736517482,427.0,376.22222222222223,0.5306527765623326,95,70.18491902834009,0.9798109987634128,0.9616391490503846,2.7938844347348115,NCD_YFP_ilid,0.001,0.04,100.0,0.0,10000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
31,31,14,19.25154702706253,1.1738556405282223,422.0,164.5,0.9916033841961419,96,33.03151329467121,0.9746875733333333,0.9320284214213547,2.0367974565287827,NCD_YFP_ilid,0.001,0.04,100.0,0.0,10000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
32,32,13,17.549638091875543,1.336170188705381,431.0,282.15384615384613,0.5512237124985004,98,63.69230769230769,0.9494598765432098,0.9132811763596947,2.0417012405388726,NCD_YFP_ilid,0.001,0.04,100.0,0.0,10000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
33,33,20,23.140032995735304,1.6549540647043353,434.25,113.5,1.4901044628369315,99,89.3952991452992,0.9810417454348219,0.9875460794854576,1.6947983081876132,NCD_YFP_ilid,0.001,0.04,100.0,0.0,10000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
34,34,37,46.02743736871085,2.044659828152902,469.0810810810811,375.0,1.1883112351642806,103,76.150814479638,0.9949652378980638,0.981874087605031,3.354027446645076,NCD_YFP_ilid,0.001,0.04,100.0,0.0,10000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
35,35,17,20.27750882140067,1.956040951930839,492.0,382.94117647058823,-0.2612588228193547,104,132.33846153846167,0.9172552832508796,0.9167297943010315,2.2743607082386417,NCD_YFP_ilid,0.001,0.04,100.0,0.0,10000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
