,index,area,major_axis_length,minor_axis_length,centroid-0,centroid-1,orientation,label,speed (nm/s),r^2,skele r^2,MT len (um),Motor Type,Motor_Conc_uM,MT_Conc_uM,ATP_Conc_uM,ADP_Conc_uM,P_Conc_uM,Flag_Conc_mg-ml,BSA_Caesin_Both,Acq_Time_s,Time_Interval_s,Cy5_exptime_ms,Cy5_gain,YFP_exptime_ms,YFP_gain,Temperature
1,1,19,28.931068049348767,0.9655877462437027,123.94736842105263,136.31578947368422,0.7294607251053122,4,103.59494324045399,0.9760301494503676,0.8863160388919934,2.8914958572617135,NCD_YFP_ilid,0.001,0.04,10000.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
2,2,44,51.30422024569497,2.2121288178679417,138.5681818181818,234.5,1.429473487489509,5,191.4530791788855,0.9806164962043176,0.9816550281423183,2.5182975858266965,NCD_YFP_ilid,0.001,0.04,10000.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
4,4,18,25.916389765800936,1.8445785161250299,167.16666666666666,194.05555555555554,0.776382141464013,8,131.80769230769226,0.9563533174181342,0.9631795248755387,2.4567095577762976,NCD_YFP_ilid,0.001,0.04,10000.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
5,5,17,24.280551659206644,1.1367415567366235,172.0,460.11764705882354,-0.6324398337467628,9,117.98774509803927,0.9903468641290366,0.9130640063448345,2.4470326849583652,NCD_YFP_ilid,0.001,0.04,10000.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
6,6,27,31.671449024696336,2.9299507846746526,172.25925925925927,123.0,1.3892644945398624,10,148.35000000000005,0.9574945415940549,0.9825413342582958,2.9243417607773674,NCD_YFP_ilid,0.001,0.04,10000.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
7,7,12,14.100580038844244,1.0307916651953237,211.08333333333334,145.5,1.3662479008588968,11,80.50000000000011,0.8000000000000007,0.4285714285714284,2.436459645476683,NCD_YFP_ilid,0.001,0.04,10000.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
8,8,10,12.931922060805164,0.8748667402872007,262.5,299.5,-1.092729639358531,14,86.24999999999993,0.9777777777777777,0.24999999999999056,2.084076458552922,NCD_YFP_ilid,0.001,0.04,10000.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
11,11,17,20.721891265852523,1.2455196714617078,417.0,264.3529411764706,0.3317926911840162,20,119.62412587412581,0.9900604382929642,0.9735391722585267,2.4928914819195738,NCD_YFP_ilid,0.001,0.04,10000.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
12,12,46,53.81975617683226,1.971682344269778,417.4347826086956,296.5,1.4073771259727752,21,142.0166852057842,0.9713389806879977,0.9880055043159357,3.879372193924572,NCD_YFP_ilid,0.001,0.04,10000.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
13,13,74,86.43087244739796,3.2523711917257665,432.7837837837838,260.5,-1.4191237509772574,22,216.5850678733031,0.9952785820977956,0.9951274358153965,2.3050738948949436,NCD_YFP_ilid,0.001,0.04,10000.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
14,14,18,25.46035659257213,0.951863776075524,474.5,16.11111111111111,-0.6184072414719061,25,180.16666666666674,0.9923042100497962,0.9240506329113933,2.408648744670945,NCD_YFP_ilid,0.001,0.04,10000.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
15,15,16,18.98277622574399,1.1849923051770246,495.625,191.5,-1.3304063822966679,27,134.6545454545456,0.9880277252678009,0.9037037037037036,2.281541538629965,NCD_YFP_ilid,0.001,0.04,10000.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
