,index,area,major_axis_length,minor_axis_length,centroid-0,centroid-1,orientation,label,speed (nm/s),r^2,skele r^2,MT len (um),Motor Type,Motor_Conc_uM,MT_Conc_uM,ATP_Conc_uM,ADP_Conc_uM,P_Conc_uM,Flag_Conc_mg-ml,BSA_Caesin_Both,Acq_Time_s,Time_Interval_s,Cy5_exptime_ms,Cy5_gain,YFP_exptime_ms,YFP_gain,Temperature
1,1,96,116.61312878036917,5.197796162021553,34.041666666666664,203.5,1.2546390620730823,2,234.13740607431788,0.8846325147651039,0.9450560573089959,8.307002845889052,NCD_YFP_ilid,0.001,0.04,5000.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
2,2,89,113.53940137169491,6.6029870351036495,39.674157303370784,450.5056179775281,-1.0122178780432152,3,119.18462948815883,0.9846580001513168,0.9854801707187636,8.294544272569897,NCD_YFP_ilid,0.001,0.04,5000.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
5,5,83,102.10734429985216,4.063147641718479,193.97590361445782,169.21686746987953,0.48405222128251935,14,162.65128205128195,0.9285518632745593,0.9835519327682558,6.11551408544654,NCD_YFP_ilid,0.001,0.04,5000.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
7,7,69,79.68734132045695,4.524187882826376,198.0,77.56521739130434,-0.02319817812641747,16,161.83659621802,0.9367120216900925,0.9709560358998574,5.064453071643896,NCD_YFP_ilid,0.001,0.04,5000.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
8,8,28,38.277931241356626,2.10538189960849,217.5,350.57142857142856,-0.5668465726715659,18,160.0242424242426,0.8466686496133258,0.8309496451342426,2.8881260846628756,NCD_YFP_ilid,0.001,0.04,5000.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
10,10,9,13.80124139943919,0.8576784814927124,270.0,129.77777777777777,-0.7269654308148156,25,35.80889269965702,0.8801456206415145,0.7671145290798611,1.6842537011119445,NCD_YFP_ilid,0.001,0.04,5000.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
11,11,31,39.79392244129678,1.2352905615426701,304.64516129032256,187.0,1.1173808872137407,28,102.06249999999991,0.8497097136811477,0.8749811224463226,3.1188720260709246,NCD_YFP_ilid,0.001,0.04,5000.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
12,12,25,30.729730740405277,3.0300575278682613,320.08,165.0,1.2168899868097,30,83.055,0.9658542126572961,0.8273809090181053,3.1111942177828484,NCD_YFP_ilid,0.001,0.04,5000.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
13,13,87,101.33540229772858,3.056568212527714,430.0,493.1609195402299,0.1321758316054822,34,207.23104072398186,0.9478552578694452,0.9703685104089527,5.658062821440918,NCD_YFP_ilid,0.001,0.04,5000.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
15,15,12,14.038095734716785,1.712269880283603,415.5,413.5,-1.3881956019008101,38,96.59999999999998,0.9814814814814815,0.7160493827160456,1.6870373407599148,NCD_YFP_ilid,0.001,0.04,5000.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
16,16,81,104.88664675298976,5.010063569237738,462.14814814814815,298.28395061728395,0.7163265276986442,41,133.44058823529411,0.979113710428824,0.9441321743099766,5.782716698982085,NCD_YFP_ilid,0.001,0.04,5000.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
19,19,26,33.67936898346445,2.3068174290135217,481.5,244.84615384615384,0.4729983880341145,45,134.8375000000001,0.9580412249551191,0.9898872772249395,2.7970163264102417,NCD_YFP_ilid,0.001,0.04,5000.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
21,21,13,16.74371689352939,1.1829724761292737,480.0,471.9230769230769,-0.46615912738380894,47,97.75,0.9531745869249196,0.9714285714285714,1.6840307574642581,NCD_YFP_ilid,0.001,0.04,5000.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
22,22,35,41.748030881806024,2.3791353132407584,493.0285714285714,71.0,-1.3153703271483064,48,162.72500000000002,0.9870602288287613,0.9369138339881298,3.970949863759541,NCD_YFP_ilid,0.001,0.04,5000.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
