,index,area,major_axis_length,minor_axis_length,centroid-0,centroid-1,orientation,label,speed (nm/s),r^2,skele r^2,MT len (um),motor conc,MT dilute,ATP,ADP,P,time (seconds)
0,0,17,23.536289174068553,1.1074668925451279,38.0,86.6470588235294,0.5877791622581607,1,25.458487394957977,0.9188670923027422,0.8504824303350369,3.8213717178665836,0.25,600.0,1410.0,0.0,0.0,120.0
2,2,23,20.27957630828908,7.0443930077060255,97.65217391304348,88.82608695652173,-0.10737501492737439,3,41.535681314623325,0.8076560106548273,0.7252692444590595,2.4705285801906687,0.25,600.0,1410.0,0.0,0.0,120.0
3,3,13,17.01734522551138,1.4822090690202059,135.0,131.3846153846154,0.4980667875914844,5,15.922184873949577,0.8732561832933212,0.8109085894904257,3.2373826736283857,0.25,600.0,1410.0,0.0,0.0,120.0
8,8,29,33.51385165391077,1.6946055194736325,215.0,72.03448275862068,-0.05328823423918326,13,64.22500000000002,0.9700682358196017,0.7045990834158278,3.267516339841301,0.25,600.0,1410.0,0.0,0.0,120.0
9,9,41,48.69756495287064,1.276658347645888,241.0,43.78048780487805,0.23775315419942455,16,32.640242763772186,0.9053405528370226,0.6398507876571199,5.359166887177271,0.25,600.0,1410.0,0.0,0.0,120.0
10,10,39,41.619614225876205,2.910852698354506,242.71794871794873,32.64102564102564,0.1096581587536313,17,71.53304493250779,0.91850020834505,0.6691790061212644,5.069697186494646,0.25,600.0,1410.0,0.0,0.0,120.0
12,12,15,22.33593971677804,0.9352464153078403,253.6,62.266666666666666,-0.7953939751990076,20,10.479495798319334,0.8882408799158477,0.7915337721539075,4.307463892506501,0.25,600.0,1410.0,0.0,0.0,120.0
13,13,17,19.49073126044839,2.8456201613233847,254.8235294117647,22.88235294117647,0.944107321165597,21,25.99579831932773,0.8989080195132738,0.8517941120804128,2.4248082493770906,0.25,600.0,1410.0,0.0,0.0,120.0
15,15,19,22.251828789872974,1.5227341804453183,280.0,116.52631578947368,0.1762064975209315,27,39.127058823529396,0.8388476629381572,0.8197627081971723,1.5761176585161982,0.25,600.0,1410.0,0.0,0.0,120.0
20,20,31,35.89464950050955,1.6419151666726053,338.0,202.41935483870967,0.08104156112560171,37,35.612134638470785,0.8835575441142162,0.25958981337319353,5.203816050278314,0.25,600.0,1410.0,0.0,0.0,120.0
21,21,11,16.957539473759947,0.8404271567426999,331.27272727272725,43.0,-0.8408285862411848,39,31.16896551724134,0.9648362890015474,0.8267139820050461,2.060053565121492,0.25,600.0,1410.0,0.0,0.0,120.0
24,25,28,34.38399079391984,1.6494753470029244,385.2142857142857,22.5,-1.2213625493839173,50,51.17596638655462,0.9205573404189045,0.8969843290036659,3.3157248871757847,0.25,600.0,1410.0,0.0,0.0,120.0
26,27,15,20.491819711614163,1.1608389763112996,395.0,396.73333333333335,-0.5683162092121613,52,20.60964285714288,0.847989406331706,0.4681650756733645,3.8226243439370164,0.25,600.0,1410.0,0.0,0.0,120.0
27,28,12,14.667739701407932,1.3214768029104373,397.5,46.166666666666664,0.34550248010400747,54,38.49999999999999,0.9468030091621376,0.7325537221478946,2.063786178420016,0.25,600.0,1410.0,0.0,0.0,120.0
28,29,16,21.643226839478697,1.2281009628157808,425.5,369.5625,0.5520778054493222,58,48.81910858226648,0.9745274754698042,0.9658950908967283,2.0386341127003296,0.25,600.0,1410.0,0.0,0.0,120.0
29,30,19,21.588149975209912,4.895753378843674,428.94736842105266,277.05263157894734,-0.03039640775321127,60,52.905604889127055,0.9293480551239249,0.9227306414521784,1.6914783871215113,0.25,600.0,1410.0,0.0,0.0,120.0
30,31,14,19.909126604024426,1.5498993738331954,429.5,288.57142857142856,0.6290113312535853,61,19.66403361344538,0.9619033766270704,0.949289493575208,3.19119681676369,0.25,600.0,1410.0,0.0,0.0,120.0
32,33,17,19.621946098773,1.1421430787856117,451.8235294117647,259.0,-1.5191961365845414,68,39.297142857142845,0.9131974441659753,0.8960075295179717,2.07950175539781,0.25,600.0,1410.0,0.0,0.0,120.0
36,37,7,9.525630460255826,0.8312254587161064,480.0,309.0,0.5762859986078338,76,19.66761363636364,0.8533470576946564,0.8939999999999999,1.8006936709941146,0.25,600.0,1410.0,0.0,0.0,120.0
