,index,area,major_axis_length,minor_axis_length,centroid-0,centroid-1,orientation,label,speed (nm/s),r^2,skele r^2,MT len (um),motor conc,MT dilute,ATP,ADP,P,time (seconds)
0,0,15,19.443156484794855,1.1885094853087088,43.53333333333333,460.0,-1.0938547826393874,5,147.2000000000005,0.8151041666666682,0.6666666666666761,2.5999212481447516,0.031,200.0,1410.0,0.0,0.0,450.0
5,5,18,24.052306281174094,1.0681215025677757,76.5,376.72222222222223,0.530577875342778,13,28.01715686274514,0.8311842888315815,0.8927335640138413,2.8306886784195058,0.031,200.0,1410.0,0.0,0.0,450.0
7,7,27,32.83746402825586,1.257077120587342,106.0,30.37037037037037,-0.3216894022912763,18,39.157983193277296,0.9755625048115856,0.9087208270895918,4.012260175360926,0.031,200.0,1410.0,0.0,0.0,450.0
14,14,32,41.58305942301681,1.6833134057129244,166.75,205.46875,1.0823277610495192,34,101.01823529411766,0.9747827728189568,0.3064061421162465,3.7488759124744817,0.031,200.0,1410.0,0.0,0.0,450.0
18,18,66,49.12082040238578,11.930811723334024,228.3939393939394,371.1969696969697,0.22915453067019104,50,130.39017192331474,0.9003756404572334,0.3657079139651771,6.08948758890196,0.031,200.0,1410.0,0.0,0.0,450.0
22,22,34,39.242833740697165,0.0,272.5,145.0,0.0,60,48.77546218487398,0.9804804258200432,0.9410769287509716,4.116020575546046,0.031,200.0,1410.0,0.0,0.0,450.0
32,33,43,38.20339821291474,6.9466472864619835,423.25581395348837,146.95348837209303,0.22343782324459824,92,22.493295019157074,0.8214901370916912,0.20658045817953863,4.21108443879643,0.031,200.0,1410.0,0.0,0.0,450.0
33,34,10,11.496896722057157,1.7382076292409374,416.0,293.5,1.5335980273824872,94,97.0878787878789,0.9658594479937376,0.7149078240673538,1.8901910978429515,0.031,200.0,1410.0,0.0,0.0,450.0
36,37,30,44.961427997681994,2.222859311870267,434.46666666666664,392.1666666666667,-0.7004513065206041,97,77.17432432432433,0.9672303847965362,0.9341866376286918,3.8543031584130096,0.031,200.0,1410.0,0.0,0.0,450.0
37,38,23,30.66802958403307,2.940065325325678,440.04347826086956,419.39130434782606,-0.5458665817409483,98,32.501541014698944,0.983036050160523,0.8699421902397286,2.2810240787405567,0.031,200.0,1410.0,0.0,0.0,450.0
39,40,25,29.767160358475525,2.693281305917227,471.0,464.08,-0.2506916230835806,103,19.064873949579816,0.9231960173361774,0.6113294094188062,3.624507329132101,0.031,200.0,1410.0,0.0,0.0,450.0
40,42,14,16.2262968761895,1.6821827086718715,469.42857142857144,495.42857142857144,0.2590288184950927,105,36.84423076923076,0.8543181978673822,0.7884303320029824,2.420863887449961,0.031,200.0,1410.0,0.0,0.0,450.0
41,43,28,32.44029773160844,1.2182881193473434,468.25,325.5,1.4814167224034043,107,46.73831932773109,0.9714641842136658,0.9339097740156417,3.7498070639102328,0.031,200.0,1410.0,0.0,0.0,450.0
43,45,38,45.16919100010488,2.0624935604512267,488.3157894736842,304.5,1.3295055888207075,111,83.56924369747897,0.9872689263142979,0.9697212759818644,3.3331681397205575,0.031,200.0,1410.0,0.0,0.0,450.0
44,46,12,18.384029982824327,0.7635424979473866,500.0833333333333,102.5,-0.8489644892545875,112,60.44561403508779,0.945977814656302,0.9099550534499514,2.002839133203204,0.031,200.0,1410.0,0.0,0.0,450.0
